mol,charge
10,-0.113279
11,-0.105941
12,-0.087141
13,-0.105382
14,-0.109776
15,-0.112171
16,-0.101780
17,-0.104987
18,-0.092458
19,-0.097349
1,-0.108538
20,-0.106304
21,-0.105129
22,-0.093007
23,-0.100012
24,-0.089074
25,-0.089571
26,-0.081663
27,-0.090636
28,-0.083003
29,-0.086011
2,-0.106309
30,-0.085876
31,-0.111385
32,-0.108300
33,-0.112717
34,-0.113157
35,-0.090355
36,-0.111479
37,-0.111321
38,-0.105755
39,-0.100660
3,-0.100939
40,-0.108709
41,-0.110799
42,-0.097084
43,-0.098137
44,-0.100242
45,-0.095891
46,-0.096238
47,-0.089581
48,-0.086365
49,-0.093899
4,-0.096602
50,-0.082990
51,-0.109342
52,-0.112196
53,-0.114783
54,-0.110330
55,-0.094332
56,-0.098930
57,-0.111013
58,-0.112820
59,-0.112077
5,-0.099250
60,-0.101473
61,-0.102042
62,-0.102521
63,-0.112981
64,-0.105291
65,-0.106741
66,-0.098441
67,-0.098218
68,-0.100617
69,-0.100499
6,-0.096598
70,-0.098975
71,-0.098799
72,-0.100298
73,-0.100150
74,-0.101375
75,-0.097619
76,-0.106565
77,-0.107840
78,-0.109534
79,-0.107126
7,-0.095529
80,-0.103787
81,-0.098343
82,-0.105591
83,-0.089074
84,-0.088649
85,-0.092595
86,-0.108939
87,-0.098078
88,-0.100500
89,-0.107310
8,-0.110309
9,-0.111851
