Name	Structure Path	Number of Atoms	Total Charge
Ac_AcNaLi	/Users/marcelmueller/source/acqm/Ac/Ac_AcNaLi/coord.xyz	3	-1.0
Ac_Ac1C7H5I1N3O3S3	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C7H5I1N3O3S3/coord.xyz	23	-2.0
Ac_Ac1C20H24N2O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C20H24N2O5/coord.xyz	52	1.0
Ac_Ac1Br1C15F3H31N4O3P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C15F3H31N4O3P1/coord.xyz	59	1.0
Ac_Ac1Br1C9H16O3P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C9H16O3P1/coord.xyz	31	1.0
Ac_AcS2	/Users/marcelmueller/source/acqm/Ac/Ac_AcS2/coord.xyz	3	0.0
Ac_AcH3Li1	/Users/marcelmueller/source/acqm/Ac/Ac_AcH3Li1/coord.xyz	5	0.0
Ac_Ac1C8F1H14N5O5P1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C8F1H14N5O5P1/coord.xyz	35	0.0
Ac_AcS3	/Users/marcelmueller/source/acqm/Ac/Ac_AcS3/coord.xyz	4	0.0
Ac_AcS4	/Users/marcelmueller/source/acqm/Ac/Ac_AcS4/coord.xyz	5	0.0
Ac_Ac1C11Cl1F3H14I1N1O3P2S1	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1C11Cl1F3H14I1N1O3P2S1/coord.xyz	38	-1.0
Ac_AcLiPI	/Users/marcelmueller/source/acqm/Ac/Ac_AcLiPI/coord.xyz	4	-2.0
Ac_AcKInCPNa	/Users/marcelmueller/source/acqm/Ac/Ac_AcKInCPNa/coord.xyz	6	-1.0
Ac_AcCl1	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl1/coord.xyz	2	0.0
Ac_AcBSrO	/Users/marcelmueller/source/acqm/Ac/Ac_AcBSrO/coord.xyz	4	-1.0
Ac_Ac1Br1C5Cl1H7N1O5	/Users/marcelmueller/source/acqm/Ac/Ac_Ac1Br1C5Cl1H7N1O5/coord.xyz	21	-1.0
Ac_AcCl6	/Users/marcelmueller/source/acqm/Ac/Ac_AcCl6/coord.xyz	7	0.0
Ac_AcSeCl	/Users/marcelmueller/source/acqm/Ac/Ac_AcSeCl/coord.xyz	3	2.0
