CID,Method,Charge,Atom number,Atom type
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,-0.15085850230271725,1,1
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,-0.15002969058633853,2,1
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,0.34482394784284165,3,4
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,0.05152630972522343,4,4
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,-0.8556396862287207,5,8
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,0.5672054318383555,6,41
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,-0.0011855324024642733,7,44
mlm_H2O1Be2Nb1Ru1Ag1_fea7a7,EEQ,0.1941577221138182,8,47
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.05172910990276369,1,1
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,-0.04322138557448807,2,1
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.07678534760542832,3,1
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,-0.019782041730357358,4,1
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,-0.3980685753335387,5,7
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.7145611719346269,6,22
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.2106555483470225,7,51
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.38013356298872236,8,51
mlm_H4N1Ti1Sb2Pt1_1d00de,EEQ,0.0272072618598177,9,78
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,0.13361409907310962,1,1
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.14342239936562906,2,1
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.1301591044547311,3,1
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,0.42483154057395717,4,3
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,0.45070297409147186,5,3
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.5632719082109875,6,9
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.5555176057504783,7,9
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.01843019793922812,8,10
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.19665870374547145,9,29
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.30847262584370805,10,29
mlm_H3Li2F2Ne1Cu2Hg1_0fea50,EEQ,-0.09321606842830521,11,80
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,0.020395598272892723,1,1
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.09029202104126599,2,1
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,0.03228557535766019,3,1
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.5445746240775651,4,9
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.2797067850237469,5,9
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.0029598754723376697,6,14
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.09065851200730501,7,14
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,-0.22143320262451205,8,17
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,1.0506502270873888,9,38
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,0.08578888960980469,10,79
mlm_H3F2Si2Cl1Sr1Au2_5f845d,EEQ,0.040504729918986904,11,79
mlm_H3O1Mg2Ag2_627aae,EEQ,-0.09877479015580704,1,1
mlm_H3O1Mg2Ag2_627aae,EEQ,-0.10018759872040306,2,1
mlm_H3O1Mg2Ag2_627aae,EEQ,-0.12591862441732837,3,1
mlm_H3O1Mg2Ag2_627aae,EEQ,-0.777393696446537,4,8
mlm_H3O1Mg2Ag2_627aae,EEQ,0.6549082855071676,5,12
mlm_H3O1Mg2Ag2_627aae,EEQ,0.7530035549099728,6,12
mlm_H3O1Mg2Ag2_627aae,EEQ,0.36195875659039833,7,47
mlm_H3O1Mg2Ag2_627aae,EEQ,0.33240411273253734,8,47
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.0748163381203919,1,1
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.03485531722403057,2,1
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.03427697655895545,3,1
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.621051786247395,4,8
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.6208100481566117,5,8
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.14217132072055594,6,32
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.527893716406574,7,34
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,-0.04047428029719913,8,34
mlm_H3O2Ge1Se2Sr1_b6381d,EEQ,1.0963497837317144,9,38
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,0.07892733233405247,1,1
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,-0.09235754271731089,2,1
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,-0.28184404771270843,3,6
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,0.02453787445470157,4,6
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,-0.32313369894004607,5,9
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,-0.2938027119980855,6,9
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,0.7747693443001546,7,37
mlm_C2H2F2Rb1Tl1_188f4b,EEQ,0.11290345027924165,8,81
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,0.0011836088880661233,1,1
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,0.049443879991498685,2,1
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,-0.46364134583021466,3,5
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,-0.3815894995278306,4,5
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,-0.14286690040552208,5,17
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,0.7756156901570708,6,37
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,0.002901200661015846,7,50
mlm_H2B2Cl1Rb1Sn2_0d0373,EEQ,0.15895336606591715,8,50
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.02914299306569501,1,1
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.03008381061210641,2,1
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,-0.05008734789705793,3,1
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.14721333704736195,4,1
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.3370198942281698,5,1
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,-0.2100366293708864,6,6
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,-0.7732936944309642,7,7
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,-0.4485516321327778,8,8
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.741098142018903,9,11
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.3456818731311724,10,43
mlm_C1H5N1O1Na1Tc2_2fecff,EEQ,0.8517292537282791,11,43
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.04296814446896291,1,1
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.242414721824329,2,1
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.3209737964379027,3,6
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.5298364727519022,4,8
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.7561251041232041,5,8
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,0.07939844015762942,6,13
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,-0.04636442386722128,7,36
mlm_C1H2O2Al1Kr1Ba1_3238ec,EEQ,0.859284223315893,8,56
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.1069932261902008,1,1
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.5230064911237048,2,3
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.5184708114045233,3,4
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.44386031102384893,4,9
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.17615210416629423,5,17
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,-0.18266073440376096,6,17
mlm_H1Li1Be1F1Cl2Ca1Bi2_0e3412,EEQ,0.6566140579204884,7,20
