CID	Name	Structure Path	Number of Atoms	Total Charge	HOMO-LUMO gap
6695	[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium	/Users/marcelmueller/source/randommolecules/example/6695/6695_opt.xyz	64	1	1.561
43467	diphenyl propan-2-yl phosphate	/Users/marcelmueller/source/randommolecules/example/43467/43467_opt.xyz	37	0	4.520
44961	[4-(dimethylamino)-3-methylphenyl] N,N-dimethylcarbamate	/Users/marcelmueller/source/randommolecules/example/44961/44961_opt.xyz	34	0	3.511
60641	4-[2-(4-methylphenyl)sulfonylhydrazinyl]-4-oxobut-2-enoic acid	/Users/marcelmueller/source/randommolecules/example/60641/60641_opt.xyz	31	0	2.193
76470	bis(2-methylpropyl)carbamothioylsulfanyl N,N-bis(2-methylpropyl)carbamodithioate	/Users/marcelmueller/source/randommolecules/example/76470/76470_opt.xyz	60	0	2.258
94837	(4-hydroxy-2-methyl-5-propan-2-ylphenyl) thiocyanate	/Users/marcelmueller/source/randommolecules/example/94837/94837_opt.xyz	27	0	3.760
95734	4-benzhydrylidene-1-methylpiperidine	/Users/marcelmueller/source/randommolecules/example/95734/95734_opt.xyz	41	0	3.323
131001	3-(dipropylamino)-3,4-dihydro-2H-chromen-5-ol	/Users/marcelmueller/source/randommolecules/example/131001/131001_opt.xyz	41	0	3.696
131753	4-(4-hydroxy-3-methylbut-2-enyl)-1,2-diphenylpyrazolidine-3,5-dione	/Users/marcelmueller/source/randommolecules/example/131753/131753_opt.xyz	45	0	3.441
141029	2-[(3-methoxyphenyl)diazenyl]-4-methylphenol	/Users/marcelmueller/source/randommolecules/example/141029/141029_opt.xyz	32	0	0.748
153148	2-[3-(3-hydroxy-4-methoxyphenyl)propyl]benzene-1,3,5-triol	/Users/marcelmueller/source/randommolecules/example/153148/153148_opt.xyz	39	0	4.103
158729	(2S,3R,4S,5S,6R)-2-(3-phenylprop-2-enoxy)-6-[[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxane-3,4,5-triol	/Users/marcelmueller/source/randommolecules/example/158729/158729_opt.xyz	58	0	3.538
166247	(2-butan-2-yl-1-methylcyclohexyl) acetate	/Users/marcelmueller/source/randommolecules/example/166247/166247_opt.xyz	39	0	4.830
170596	(2S)-1-[(2S)-6-amino-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]hexanoyl]pyrrolidine-2-carboxylic acid	/Users/marcelmueller/source/randommolecules/example/170596/170596_opt.xyz	52	0	3.167
192631	2-(4,5-dihydro-1,3-thiazol-2-ylsulfanyl)pyridin-3-ol	/Users/marcelmueller/source/randommolecules/example/192631/192631_opt.xyz	21	0	2.992
