Subset      Reference   Calculated
ACONF            0.60     0.23
ACONF            0.61     0.30
ACONF            0.96     0.15
ACONF            2.81     2.31
ACONF            0.59     0.28
ACONF            0.60     0.36
ACONF            0.93     0.19
ACONF            1.18     0.55
ACONF            1.30     0.63
ACONF            1.25     0.09
ACONF            2.63     2.15
ACONF            2.74     2.33
ACONF            3.28     2.60
ACONF            3.08     2.17
ACONF            4.92     4.20
ADIM6            1.34     1.52
ADIM6            1.99     2.30
ADIM6            2.89     3.37
ADIM6            3.78     4.40
ADIM6            4.60     5.44
ADIM6            5.55     6.46
AHB21          -17.79   -17.03
AHB21          -32.50   -32.79
AHB21          -65.68   -66.17
AHB21           -8.98    -5.59
AHB21          -15.61   -12.61
AHB21          -25.52   -23.76
AHB21          -14.35   -12.32
AHB21          -41.79   -42.17
AHB21          -17.03   -15.52
AHB21          -37.31   -38.30
AHB21           -7.97    -2.84
AHB21          -14.13    -8.29
AHB21          -26.01   -23.80
AHB21          -11.07    -6.39
AHB21           -8.62    -6.47
AHB21          -15.73   -14.58
AHB21          -26.24   -27.35
AHB21          -12.80   -11.10
AHB21          -20.65   -19.78
AHB21          -21.03   -19.42
AHB21          -31.40   -32.80
AL2X6           38.50    32.04
AL2X6           51.60    47.53
AL2X6           32.50    30.40
AL2X6           38.40    34.14
AL2X6           31.20    25.31
AL2X6           23.10    15.72
ALK8            86.47    72.68
ALK8            53.15    38.93
ALK8           131.13   135.04
ALK8            34.51    30.15
ALK8            47.42    49.48
ALK8            66.28    39.85
ALK8            56.55    74.12
ALK8            25.30    29.24
ALKBDE10       138.70   115.87
ALKBDE10       106.60    93.48
ALKBDE10        96.20    37.72
ALKBDE10       142.10   134.53
ALKBDE10       117.50   107.68
ALKBDE10       139.20   130.05
ALKBDE10        82.50    74.24
ALKBDE10        62.20    41.19
ALKBDE10        56.70    42.64
ALKBDE10        65.20    58.57
Amino20x4        1.17     1.61
Amino20x4        3.05     4.24
Amino20x4        3.32     5.66
Amino20x4        5.04     6.96
Amino20x4        1.58     2.53
Amino20x4        2.53     3.46
Amino20x4        2.80     2.96
Amino20x4        6.46     9.79
Amino20x4        0.39    -0.91
Amino20x4        4.11     3.46
Amino20x4        4.76     4.16
Amino20x4        6.53     6.51
Amino20x4        0.16     0.69
Amino20x4        1.97     2.61
Amino20x4        2.90     4.10
Amino20x4        3.11     4.01
Amino20x4        0.28     0.77
Amino20x4        0.98     1.07
Amino20x4        0.99     1.27
Amino20x4        2.37     1.70
Amino20x4        0.42    -0.64
Amino20x4        3.27     2.72
Amino20x4        4.04     5.00
Amino20x4        4.15     3.65
Amino20x4        1.33     2.39
Amino20x4        1.54     2.78
Amino20x4        2.94     4.47
Amino20x4        5.22     7.11
Amino20x4        1.09     0.05
Amino20x4        2.63     2.74
Amino20x4        2.74     2.20
Amino20x4        4.09     4.24
Amino20x4        2.77     1.96
Amino20x4        2.99     3.32
Amino20x4        7.32     7.92
Amino20x4        7.37     8.91
Amino20x4        0.19     0.77
Amino20x4        0.59     0.68
Amino20x4        0.96     1.36
Amino20x4        0.99     0.39
Amino20x4        0.34    -0.45
Amino20x4        1.52     1.31
Amino20x4        1.69     0.95
Amino20x4        1.95     1.17
Amino20x4        0.06    -0.31
Amino20x4        0.20     0.17
Amino20x4        0.46     0.12
Amino20x4        0.54    -0.07
Amino20x4        1.81     2.87
Amino20x4        2.46     4.83
Amino20x4        2.47     2.61
Amino20x4        2.90     4.80
Amino20x4        0.87     1.55
Amino20x4        1.72     1.88
Amino20x4        1.84     2.41
Amino20x4        1.89     1.86
Amino20x4        1.40     1.86
Amino20x4        3.21     2.88
Amino20x4        4.19     3.83
Amino20x4        6.01     6.11
Amino20x4        3.03     3.29
Amino20x4        3.10     3.18
Amino20x4        3.51     3.60
Amino20x4        4.18     2.80
Amino20x4        1.34     2.72
Amino20x4        3.08     4.69
Amino20x4        3.51     4.63
Amino20x4        4.22     4.55
Amino20x4        1.29     2.22
Amino20x4        2.83     3.82
Amino20x4        3.24     5.23
Amino20x4        4.06     5.08
Amino20x4        0.09     0.19
Amino20x4        0.90     1.70
Amino20x4        1.71     2.34
Amino20x4        1.77     1.95
Amino20x4        0.85     0.07
Amino20x4        0.86     0.64
Amino20x4        1.35     1.30
Amino20x4        1.48     1.10
BH76            17.70    12.41
BH76            82.60    79.90
BH76            42.10    58.95
BH76            42.10    58.95
BH76            17.80    27.67
BH76            17.80    27.67
BH76            30.50    31.38
BH76            56.90    57.33
BH76             1.50    -6.28
BH76           104.80   106.70
BH76             7.10    -0.70
BH76            59.80    63.71
BH76            -0.60    -9.98
BH76            -0.60    -9.98
BH76            13.40     6.04
BH76            13.40     6.04
BH76             2.50    -1.62
BH76             2.50    -1.62
BH76            13.50     9.70
BH76            13.50     9.70
BH76           -12.30   -21.33
BH76            19.80    18.00
BH76             3.50    -2.98
BH76            29.60    28.22
BH76            -2.70    -8.17
BH76            17.60    13.86
BH76            11.00     5.16
BH76            47.70    45.17
BH76            14.60     1.33
BH76            10.90    14.25
BH76             3.20    -9.38
BH76            22.80    36.67
BH76             2.00     2.22
BH76            42.00    52.09
BH76             6.40     6.22
BH76            33.00    37.81
BH76            48.10    69.80
BH76            33.00    42.18
BH76             6.10     2.45
BH76             8.00    15.45
BH76             5.20     6.55
BH76            21.60    13.36
BH76            11.90    13.81
BH76            15.00    14.66
BH76             6.30     5.19
BH76            19.50    11.15
BH76             9.70     9.49
BH76             9.70     9.49
BH76             3.40     1.34
BH76            13.70     5.82
BH76             1.80    -2.42
BH76             6.80    11.43
BH76             3.50     1.32
BH76            20.40    11.81
BH76             1.60     1.25
BH76            33.80    14.81
BH76            14.40    20.12
BH76             8.90     1.12
BH76             2.90     0.89
BH76            24.70    31.28
BH76            10.90     0.89
BH76            13.20    19.04
BH76             3.90    77.55
BH76            17.20    99.87
BH76            10.40    17.11
BH76             9.90    11.95
BH76             8.90     6.30
BH76            22.00    23.18
BH76             9.80     7.17
BH76            19.40    19.53
BH76            11.30     9.20
BH76            17.80    15.20
BH76            13.90    12.48
BH76            16.90    13.96
BH76            39.70    44.26
BH76            39.70    44.26
BH76           -64.91   -67.49
BH76           -26.32   -25.95
BH76          -103.28  -112.98
BH76           -52.64   -64.40
BH76           -32.16   -39.33
BH76           -26.12   -31.20
BH76           -20.32   -22.04
BH76           -36.71   -40.01
BH76             3.69   -12.93
BH76           -19.55   -46.04
BH76           -40.02   -49.87
BH76           -26.56   -31.59
BH76           -15.06   -27.62
BH76            -1.90   -13.00
BH76           -16.39    -6.81
BH76            -3.11    -0.85
BH76           -13.28    -5.96
BH76           -10.32    -4.48
BH76            -5.01   -13.85
BH76           -16.84   -10.49
BH76           -32.22   -13.56
BH76             5.44    19.00
BH76           -21.74   -30.39
BH76            -2.32   -18.16
BH76           -13.26   -22.32
BH76             0.42     5.16
BH76           -13.12   -16.88
BH76            -9.56   -12.36
BH76            -6.52    -6.01
BH76            -2.96    -1.48
BHDIV10         25.65    22.36
BHDIV10         56.90    58.25
BHDIV10         36.53    40.83
BHDIV10         96.17   108.73
BHDIV10         15.94    20.84
BHDIV10         13.64    11.25
BHDIV10         27.49    24.65
BHDIV10         50.24    60.66
BHDIV10         65.84    71.71
BHDIV10         64.93    85.98
BHPERI          35.30    43.35
BHPERI          30.80    34.81
BHPERI          28.10    32.06
BHPERI          39.70    44.32
BHPERI          28.30    32.74
BHPERI          35.80    42.69
BHPERI          22.30    25.64
BHPERI          18.00    21.76
BHPERI          14.50    21.45
BHPERI          26.40    39.24
BHPERI          27.60    29.26
BHPERI          20.00    20.67
BHPERI          13.80    19.38
BHPERI          11.80    13.35
BHPERI           6.50     7.51
BHPERI           4.70     7.66
BHPERI          13.10    11.02
BHPERI           5.90     3.39
BHPERI           0.50     0.06
BHPERI          18.10    21.79
BHPERI          16.60    21.39
BHPERI          22.90    24.78
BHPERI          27.80    30.67
BHPERI          21.30    25.26
BHPERI          21.60    26.10
BHPERI          31.30    34.13
BHROT27          2.73     2.52
BHROT27          7.01     6.93
BHROT27          3.46     4.06
BHROT27          3.72     3.87
BHROT27          1.01     1.02
BHROT27          2.28     1.73
BHROT27          1.01     1.17
BHROT27          7.17     4.54
BHROT27          5.79     4.04
BHROT27          8.03     5.73
BHROT27          1.62     2.13
BHROT27          8.41     7.36
BHROT27          6.91     4.75
BHROT27          2.68     3.11
BHROT27         17.24    20.42
BHROT27         14.52    18.46
BHROT27          2.10     2.36
BHROT27          3.89     4.22
BHROT27          2.09     2.73
BHROT27          1.78     2.17
BHROT27          1.39     2.05
BHROT27          6.30     6.16
BHROT27          3.35     3.64
BHROT27         10.36    15.84
BHROT27         10.24    16.01
BHROT27         17.20    21.43
BHROT27         17.08    21.60
BSR36            9.54    10.54
BSR36            9.50     9.66
BSR36           11.09    12.21
BSR36            8.85     9.20
BSR36            8.64     8.32
BSR36           10.81    10.40
BSR36           12.74    13.38
BSR36           11.70    11.76
BSR36           13.20    14.21
BSR36           11.07    12.13
BSR36           12.49    13.90
BSR36           12.35    13.77
BSR36           10.99    11.22
BSR36            9.83    10.16
BSR36           14.27    15.91
BSR36            2.24     3.72
BSR36           10.56    12.07
BSR36            6.11     7.84
BSR36           14.67    16.09
BSR36           10.21    12.78
BSR36            9.78    11.72
BSR36            8.72    11.16
BSR36           10.10    12.12
BSR36            9.47    11.29
BSR36           18.55    22.61
BSR36            8.93    12.46
BSR36           14.56    17.24
BSR36           25.52    28.21
BSR36           22.86    26.62
BSR36           27.25    30.64
BSR36           24.96    26.09
BSR36           26.82    32.48
BSR36           38.34    44.33
BSR36           31.09    37.49
BSR36           49.82    56.36
BSR36           45.46    54.42
BUT14DIOL        0.15    -0.12
BUT14DIOL        0.30     0.72
BUT14DIOL        1.31     1.31
BUT14DIOL        1.44     0.44
BUT14DIOL        1.72     0.29
BUT14DIOL        2.07     1.64
BUT14DIOL        1.77     1.96
BUT14DIOL        2.25     1.57
BUT14DIOL        2.03     1.81
BUT14DIOL        2.10     1.53
BUT14DIOL        2.00     1.79
BUT14DIOL        2.15     1.84
BUT14DIOL        2.22     1.56
BUT14DIOL        2.42     1.38
BUT14DIOL        2.23     2.22
BUT14DIOL        2.25     2.18
BUT14DIOL        2.58     2.11
BUT14DIOL        2.59     2.06
BUT14DIOL        2.63     2.29
BUT14DIOL        2.48     2.49
BUT14DIOL        2.74     2.26
BUT14DIOL        2.55     2.58
BUT14DIOL        2.53     2.75
BUT14DIOL        2.72     2.43
BUT14DIOL        2.69     2.36
BUT14DIOL        2.49     2.79
BUT14DIOL        2.72     2.63
BUT14DIOL        2.83     2.38
BUT14DIOL        2.85     2.27
BUT14DIOL        2.85     2.27
BUT14DIOL        2.52     2.85
BUT14DIOL        2.63     2.66
BUT14DIOL        3.10     1.93
BUT14DIOL        2.72     2.38
BUT14DIOL        2.83     2.10
BUT14DIOL        2.79     2.51
BUT14DIOL        2.79     2.65
BUT14DIOL        3.06     2.21
BUT14DIOL        3.10     3.10
BUT14DIOL        3.30     2.96
BUT14DIOL        3.15     3.25
BUT14DIOL        3.29     3.01
BUT14DIOL        3.59     2.87
BUT14DIOL        3.18     2.67
BUT14DIOL        3.18     2.67
BUT14DIOL        3.37     2.40
BUT14DIOL        3.45     2.22
BUT14DIOL        3.33     2.61
BUT14DIOL        3.33     2.61
BUT14DIOL        3.37     2.54
BUT14DIOL        3.61     2.92
BUT14DIOL        3.42     3.13
BUT14DIOL        3.15     3.08
BUT14DIOL        3.31     2.96
BUT14DIOL        3.45     2.80
BUT14DIOL        3.32     3.23
BUT14DIOL        3.57     2.89
BUT14DIOL        3.52     3.30
BUT14DIOL        3.50     3.11
BUT14DIOL        3.65     2.93
BUT14DIOL        3.78     2.69
BUT14DIOL        4.15     3.73
BUT14DIOL        4.31     3.62
BUT14DIOL        4.70     3.97
C60ISO          37.40    46.00
C60ISO          56.87    70.08
C60ISO          56.89    70.48
C60ISO          69.89    87.04
C60ISO         100.48   128.31
C60ISO         111.72   141.10
C60ISO         142.18   180.57
C60ISO         143.96   179.98
C60ISO         164.88   203.91
CARBHB12         5.37     4.96
CARBHB12         6.05     6.85
CARBHB12         2.42     2.09
CARBHB12         9.97    11.57
CARBHB12         2.36     2.16
CARBHB12         3.02     3.23
CARBHB12         1.21     1.08
CARBHB12         4.18     4.88
CARBHB12         7.84    10.21
CARBHB12        10.48    17.06
CARBHB12         3.24     2.99
CARBHB12        16.30    21.80
CDIE20          -3.30    -0.34
CDIE20           4.40     6.39
CDIE20          -5.90    -3.94
CDIE20          -4.80    -3.19
CDIE20          -2.50     0.64
CDIE20           4.00     6.03
CDIE20           4.50     5.96
CDIE20           1.70     1.59
CDIE20           2.90     1.94
CDIE20           3.70     5.22
CDIE20           1.20     1.85
CDIE20           3.70     5.14
CDIE20           3.80     5.81
CDIE20           4.40     5.77
CDIE20           4.20     3.94
CDIE20           1.60    -0.45
CDIE20           4.20     3.93
CDIE20           5.90     7.44
CDIE20           5.80     4.95
CDIE20           8.60     9.02
CHB6           -34.43   -37.20
CHB6           -23.83   -23.82
CHB6           -17.83   -17.15
CHB6           -39.09   -43.18
CHB6           -25.63   -27.92
CHB6           -19.90   -17.13
DARC           -45.40   -55.37
DARC           -60.80   -73.16
DARC           -29.90   -37.95
DARC           -33.60   -42.40
DARC           -37.60   -45.87
DARC           -49.00   -58.16
DARC           -14.00   -26.91
DARC           -15.90   -28.34
DARC           -16.80   -30.82
DARC           -18.90   -32.36
DARC           -31.70   -40.42
DARC           -32.20   -41.32
DARC           -34.20   -44.19
DARC           -34.60   -44.93
DC13            -1.00     5.70
DC13            -7.70   -32.90
DC13           -15.20   -13.38
DC13           -18.80   -21.71
DC13           -22.90   -41.62
DC13           -25.70    -5.29
DC13           -38.90   -48.13
DC13           -92.00   -87.30
DC13          -106.00   -76.73
DC13           109.92    98.25
DC13           -65.30   -87.24
DC13           -58.70   -80.58
DC13           152.60   151.29
DIPCS10        529.20   522.42
DIPCS10        667.10   678.18
DIPCS10        655.80   651.89
DIPCS10        626.90   628.17
DIPCS10        776.50   772.55
DIPCS10        747.60   768.00
DIPCS10        733.00   733.78
DIPCS10        649.60   646.41
DIPCS10        522.10   518.51
DIPCS10        634.80   629.72
FH51          -150.81  -148.30
FH51          -144.38  -143.23
FH51           -89.35   -92.23
FH51           -82.55   -67.80
FH51           -78.51   -84.82
FH51           -66.96   -79.17
FH51           -63.89   -59.61
FH51           -58.53   -59.84
FH51           -56.64   -61.32
FH51           -52.85   -34.49
FH51           -52.60   -63.36
FH51           -46.72   -51.53
FH51           -44.82   -48.02
FH51           -43.67   -47.40
FH51           -42.89   -50.03
FH51           -37.08   -42.61
FH51           -34.93   -41.61
FH51           -32.47   -47.95
FH51           -32.10   -36.29
FH51           -31.22   -32.45
FH51           -29.98   -31.01
FH51           -25.84   -29.71
FH51           -23.47   -27.06
FH51           -22.45   -24.17
FH51           -20.27   -26.36
FH51           -19.72   -27.45
FH51           -19.34   -32.79
FH51           -19.45    -8.50
FH51           -17.39   -61.60
FH51           -16.98   -12.22
FH51           -16.14   -21.35
FH51           -14.30   -12.20
FH51           -13.14   -14.47
FH51           -11.68   -17.12
FH51           -10.70   -13.13
FH51            -9.39    18.14
FH51            -8.53   -45.57
FH51            -6.63   -13.28
FH51            -6.65    -7.01
FH51            -6.45    -8.49
FH51            -5.11    -5.59
FH51            -3.25   -15.24
FH51            -2.64    -4.15
FH51            -2.48    -3.04
FH51            -2.11    -2.68
FH51            -1.47    -3.68
FH51            -1.15    -0.62
FH51            -0.86    -1.01
FH51            -0.43    -2.47
FH51            -0.41    -2.21
FH51            -0.18    -2.24
G21EA           29.20    27.03
G21EA           33.70    27.56
G21EA           78.40    67.48
G21EA           32.10    25.30
G21EA           17.30    14.62
G21EA           48.00    47.04
G21EA           83.50    82.20
G21EA           27.90    28.72
G21EA           13.40     3.91
G21EA            1.20   -15.12
G21EA            8.30     7.05
G21EA           16.80    10.79
G21EA           41.70    35.42
G21EA           29.30    24.23
G21EA           25.10    20.82
G21EA           31.40    23.94
G21EA           23.50    19.35
G21EA           28.80    21.36
G21EA           54.20    48.70
G21EA            9.50     4.76
G21EA           -0.20    -5.89
G21EA           89.50    71.39
G21EA           24.90    13.90
G21EA           38.00    34.07
G21EA           54.70    67.77
G21IP          314.90   310.21
G21IP          123.30   125.57
G21IP          214.90   213.55
G21IP          190.40   202.39
G21IP          259.60   273.50
G21IP          335.30   338.58
G21IP          313.80   326.36
G21IP          401.70   411.26
G21IP          118.50   115.84
G21IP          176.30   178.32
G21IP          138.00   142.77
G21IP          188.00   194.30
G21IP          241.90   242.20
G21IP          239.00   242.38
G21IP          299.10   302.16
G21IP          296.34   295.75
G21IP          235.69   230.40
G21IP          300.92   314.44
G21IP          292.65   293.09
G21IP          371.31   371.65
G21IP          255.39   256.62
G21IP          234.11   235.75
G21IP          226.37   228.55
G21IP          227.82   225.38
G21IP          239.30   241.22
G21IP          294.46   295.20
G21IP          264.58   259.68
G21IP          243.71   236.05
G21IP          322.99   316.43
G21IP          359.37   353.50
G21IP          277.73   288.44
G21IP          242.85   238.21
G21IP          215.74   219.90
G21IP          265.08   265.65
G21IP          291.70   292.59
G21IP          261.15   256.88
G2RC            -2.23   -18.87
G2RC            -2.26    -4.85
G2RC            -2.18    33.81
G2RC            -4.10    -3.25
G2RC            -7.10   -41.90
G2RC           -10.70   -15.02
G2RC           -19.47   -33.72
G2RC           -26.97   -35.99
G2RC           -27.30   -22.75
G2RC           -27.15   -19.17
G2RC           -24.89   -18.11
G2RC           -29.46   -35.91
G2RC           -32.71   -43.61
G2RC           -36.32   -54.75
G2RC           -39.43   -61.49
G2RC           -48.52   -47.69
G2RC           -49.20   -56.48
G2RC           -61.67  -102.73
G2RC           -65.15  -107.29
G2RC           -68.90   -67.17
G2RC           -81.21   -73.86
G2RC          -109.11  -128.32
G2RC          -135.40  -127.08
G2RC          -154.04  -176.64
G2RC          -216.11  -217.70
HAL59            1.16     0.17
HAL59            4.81     3.88
HAL59           10.54    12.25
HAL59            4.40     3.98
HAL59            6.12     5.66
HAL59            1.49     1.03
HAL59            2.11     0.97
HEAVYSB11       67.85    55.81
HEAVYSB11       61.85    57.67
HEAVYSB11       59.65    44.78
ICONF            0.90     2.49
ICONF            5.29     6.01
ICONF            0.13     4.79
ICONF            2.33     7.83
ICONF           12.16    11.04
ICONF            0.10     0.46
ICONF            1.03     0.85
ICONF            3.51     3.27
ICONF            1.69     1.25
ICONF            1.40     0.62
ICONF            4.39     2.80
ICONF            9.16     6.85
ICONF            0.55     0.26
ICONF            3.55     2.44
ICONF            1.33     3.38
ICONF            3.66     6.50
ICONF            4.35     6.69
IDISP           -9.15   -18.28
